start	18	2007	1	1	0
	53	73	53.500000	-16.500000	2.000000e+00	"[0.000000e+00,1.281643e+01,1.028439e+01,7.497676e+00,4.915020e+00,3.542176e+00,2.883621e+00,2.572663e+00,2.184477e+00,1.663346e+00,1.128184e+00,6.279865e-01,3.600645e-01,1.688691e-01,-1.373281e-01,-1.201746e-01,-3.178955e-02,3.276387e-02,-8.117179e-02,-1.340095e-01,-2.919565e-01,-5.852855e-01,-9.703261e-01,-1.458427e+00,-1.903967e+00,-2.331778e+00,-2.401305e+00,-2.385944e+00,-2.357142e+00,-2.378151e+00,-2.427938e+00,-2.257311e+00,-2.034315e+00,-2.046227e+00,-1.965239e+00,-1.604085e+00,-1.345201e+00,-1.366435e+00,-1.564654e+00]"	2007	1	1	0
	52	72	52.500000	-17.500000	2.000000e+00	"[0.000000e+00,1.381261e+01,1.074904e+01,7.528413e+00,4.817613e+00,3.609316e+00,3.072364e+00,2.228085e+00,1.473567e+00,8.659385e-01,4.738185e-01,4.363857e-01,7.190308e-01,8.867409e-01,9.427621e-01,1.119267e+00,1.034687e+00,6.291539e-01,4.009476e-01,4.168754e-02,-4.064827e-01,-8.347366e-01,-1.333883e+00,-1.813621e+00,-2.325773e+00,-2.717462e+00,-2.932922e+00,-3.056609e+00,-3.087219e+00,-3.082877e+00,-3.250939e+00,-3.435393e+00,-3.464347e+00,-3.412918e+00,-3.240571e+00,-2.912488e+00,-2.438326e+00,-1.961675e+00,-1.963928e+00]"	2007	1	1	6
	52	71	52.500000	-18.500000	2.000000e+00	"[0.000000e+00,1.254999e+01,1.026691e+01,7.244086e+00,4.583679e+00,3.345712e+00,2.683882e+00,2.157137e+00,1.613074e+00,9.285364e-01,6.495253e-01,8.538025e-01,1.164669e+00,1.405984e+00,1.492186e+00,1.609574e+00,1.364114e+00,7.931818e-01,4.620057e-01,7.353050e-02,-4.705139e-01,-9.663517e-01,-1.639910e+00,-2.239201e+00,-2.972604e+00,-3.494910e+00,-3.921473e+00,-4.219272e+00,-4.145434e+00,-4.030501e+00,-4.223667e+00,-4.394236e+00,-4.427715e+00,-4.341418e+00,-4.107929e+00,-3.667545e+00,-3.143380e+00,-2.565042e+00,-2.310883e+00]"	2007	1	1	12
	51	71	51.500000	-18.500000	2.000000e+00	"[0.000000e+00,1.345385e+01,1.034784e+01,6.769319e+00,4.180687e+00,3.381131e+00,3.094252e+00,2.565101e+00,2.185514e+00,1.693588e+00,1.638719e+00,2.058728e+00,2.182583e+00,2.240536e+00,2.330827e+00,2.404365e+00,1.929157e+00,1.257866e+00,1.004161e+00,5.389497e-01,-2.030917e-01,-7.348639e-01,-1.413891e+00,-1.956564e+00,-2.497198e+00,-2.936085e+00,-3.287188e+00,-3.507970e+00,-3.624161e+00,-3.705505e+00,-4.003671e+00,-4.217202e+00,-4.311060e+00,-4.218951e+00,-4.055763e+00,-3.823590e+00,-3.621968e+00,-3.438541e+00,-3.168258e+00]"	2007	1	1	18
	51	70	51.500000	-19.500000	2.000000e+00	"[0.000000e+00,1.451806e+01,1.033910e+01,6.685140e+00,4.158973e+00,3.222955e+00,2.478820e+00,2.121346e+00,2.056046e+00,1.388620e+00,1.558050e+00,2.000682e+00,1.874463e+00,2.008738e+00,2.065218e+00,2.076010e+00,1.568836e+00,1.060875e+00,5.641578e-01,-2.372339e-01,-9.264762e-01,-1.546298e+00,-2.231614e+00,-2.774853e+00,-3.268343e+00,-3.712754e+00,-3.919761e+00,-4.116263e+00,-3.878032e+00,-3.773474e+00,-3.960513e+00,-4.165448e+00,-4.480077e+00,-4.306051e+00,-4.079499e+00,-3.978948e+00,-3.747711e+00,-3.382912e+00,-2.782667e+00]"	2007	1	2	0
	50	70	50.500000	-19.500000	2.000000e+00	"[0.000000e+00,1.239575e+01,9.174946e+00,6.252865e+00,4.069012e+00,3.193481e+00,2.270987e+00,1.839397e+00,2.153697e+00,1.833372e+00,2.220933e+00,2.731096e+00,2.550697e+00,2.700514e+00,2.688553e+00,2.451317e+00,1.891516e+00,1.420018e+00,8.879548e-01,1.148899e-02,-8.009815e-01,-1.423151e+00,-2.080738e+00,-2.634127e+00,-3.227607e+00,-3.741212e+00,-3.932706e+00,-4.213264e+00,-4.038292e+00,-3.921648e+00,-4.095853e+00,-4.244004e+00,-4.383712e+00,-4.123845e+00,-3.846753e+00,-3.668775e+00,-3.423146e+00,-3.185855e+00,-2.851176e+00]"	2007	1	2	6
	50	69	50.500000	-20.500000	2.000000e+00	"[0.000000e+00,1.363881e+01,8.369843e+00,5.374791e+00,3.329254e+00,2.759770e+00,2.266668e+00,2.324703e+00,2.471655e+00,2.156776e+00,2.796551e+00,3.118800e+00,2.786381e+00,2.667038e+00,2.443268e+00,2.116630e+00,1.545713e+00,1.077658e+00,3.139743e-01,-4.910662e-01,-1.009196e+00,-1.542565e+00,-2.185579e+00,-2.506036e+00,-2.906915e+00,-3.492456e+00,-3.653179e+00,-3.887013e+00,-3.875642e+00,-3.680472e+00,-3.597792e+00,-3.386482e+00,-3.270542e+00,-3.297857e+00,-3.343106e+00,-3.233320e+00,-3.025650e+00,-2.763129e+00,-2.618424e+00]"	2007	1	2	12
	49	69	49.500000	-20.500000	1.000000e+00	"[0.000000e+00,1.002396e+01,6.150160e+00,4.934352e+00,3.659011e+00,2.901975e+00,2.822101e+00,3.354898e+00,3.666829e+00,3.267048e+00,3.628588e+00,3.795757e+00,3.440954e+00,3.315181e+00,2.670397e+00,2.027020e+00,1.340182e+00,6.751291e-01,-6.369886e-02,-7.090813e-01,-1.136121e+00,-1.531588e+00,-2.016183e+00,-2.296092e+00,-2.597464e+00,-2.974951e+00,-2.949838e+00,-2.886120e+00,-2.731672e+00,-2.658104e+00,-2.615916e+00,-2.483225e+00,-2.526905e+00,-2.707486e+00,-2.916642e+00,-2.866801e+00,-2.739251e+00,-2.613386e+00,-2.548126e+00]"	2007	1	2	18
	48	69	48.500000	-20.500000	1.000000e+00	"[0.000000e+00,8.961888e+00,5.666209e+00,4.622685e+00,3.432769e+00,2.600789e+00,2.779754e+00,3.412031e+00,3.544113e+00,3.200552e+00,3.521499e+00,3.618387e+00,3.253229e+00,2.820052e+00,2.123991e+00,1.497156e+00,5.870479e-01,-1.275046e-01,-8.542061e-01,-1.448108e+00,-1.656023e+00,-1.936277e+00,-2.505526e+00,-2.726883e+00,-2.826016e+00,-2.892813e+00,-2.679801e+00,-2.644380e+00,-2.610870e+00,-2.625000e+00,-2.480164e+00,-2.284558e+00,-2.406874e+00,-2.601342e+00,-2.722330e+00,-2.523269e+00,-2.459541e+00,-2.594037e+00,-2.648955e+00]"	2007	1	3	0
	48	69	48.500000	-20.500000	1.000000e+00	"[0.000000e+00,8.516587e+00,5.882140e+00,4.793989e+00,3.233876e+00,2.278754e+00,2.094290e+00,2.543404e+00,2.816258e+00,2.544032e+00,2.924565e+00,3.032343e+00,2.644337e+00,2.419834e+00,1.924880e+00,1.362789e+00,4.214885e-01,-3.087800e-01,-9.950304e-01,-1.591130e+00,-1.879814e+00,-2.180345e+00,-2.685047e+00,-2.838638e+00,-2.846571e+00,-2.914677e+00,-2.840643e+00,-2.880165e+00,-2.792064e+00,-2.574864e+00,-2.396394e+00,-2.281231e+00,-2.313170e+00,-2.447892e+00,-2.602582e+00,-2.573147e+00,-2.550038e+00,-2.632668e+00,-2.633880e+00]"	2007	1	3	6
	48	69	48.500000	-20.500000	0.000000e+00	"[0.000000e+00,6.114698e+00,4.406707e+00,3.733361e+00,2.575390e+00,1.875797e+00,1.879222e+00,2.233191e+00,2.284814e+00,2.038381e+00,2.446931e+00,2.619678e+00,2.238746e+00,1.993253e+00,1.589507e+00,1.050309e+00,1.628313e-01,-4.809959e-01,-9.982797e-01,-1.483765e+00,-1.790252e+00,-2.137446e+00,-2.532750e+00,-2.619035e+00,-2.773032e+00,-3.067630e+00,-3.199485e+00,-3.296961e+00,-2.894725e+00,-2.474367e+00,-2.372282e+00,-2.360792e+00,-2.511065e+00,-2.752497e+00,-3.056876e+00,-3.008633e+00,-2.900185e+00,-2.936511e+00,-2.954082e+00]"	2007	1	3	12
	48	69	48.500000	-20.500000	0.000000e+00	"[0.000000e+00,6.829693e+00,4.265270e+00,3.518349e+00,2.707307e+00,2.169764e+00,2.079057e+00,2.487979e+00,2.690262e+00,2.207780e+00,2.363442e+00,2.691380e+00,2.328624e+00,1.905376e+00,1.314650e+00,6.738229e-01,-1.623232e-01,-7.523744e-01,-1.211813e+00,-1.679593e+00,-1.936489e+00,-2.058272e+00,-2.308646e+00,-2.320976e+00,-2.408390e+00,-2.490226e+00,-2.238210e+00,-2.079648e+00,-2.063809e+00,-2.264988e+00,-2.413832e+00,-2.574596e+00,-2.956021e+00,-3.245484e+00,-3.315537e+00,-3.160416e+00,-3.073171e+00,-3.025792e+00,-2.878523e+00]"	2007	1	3	18
	48	69	48.500000	-20.500000	0.000000e+00	"[0.000000e+00,5.563093e+00,4.235126e+00,3.581880e+00,2.623768e+00,2.134825e+00,2.049285e+00,2.396440e+00,2.501904e+00,1.920246e+00,1.912349e+00,2.017045e+00,1.760540e+00,1.551407e+00,9.703972e-01,3.809478e-01,-3.415363e-01,-8.548028e-01,-1.283326e+00,-1.814488e+00,-2.102788e+00,-2.251620e+00,-2.614662e+00,-2.559247e+00,-2.169012e+00,-1.954658e+00,-1.837107e+00,-1.953576e+00,-2.205066e+00,-2.607885e+00,-2.837841e+00,-3.046464e+00,-3.484122e+00,-3.728573e+00,-3.775559e+00,-3.611949e+00,-3.470718e+00,-3.315381e+00,-3.011794e+00]"	2007	1	4	0
	48	69	48.500000	-20.500000	0.000000e+00	"[0.000000e+00,5.373292e+00,4.067505e+00,3.432838e+00,2.471789e+00,1.758463e+00,1.548687e+00,1.847481e+00,1.955992e+00,1.500819e+00,1.592999e+00,1.599764e+00,1.304614e+00,1.275213e+00,1.035473e+00,6.285286e-01,6.726231e-03,-4.644150e-01,-9.998887e-01,-1.631148e+00,-2.073653e+00,-2.241097e+00,-2.118414e+00,-1.726824e+00,-1.725944e+00,-1.983863e+00,-2.100407e+00,-2.346370e+00,-2.569162e+00,-2.970174e+00,-3.214093e+00,-3.379635e+00,-3.740564e+00,-3.927670e+00,-3.879074e+00,-3.756102e+00,-3.726367e+00,-3.573522e+00,-3.221146e+00]"	2007	1	4	6
	48	69	48.500000	-20.500000	0.000000e+00	"[0.000000e+00,5.329129e+00,3.587181e+00,3.011934e+00,1.971751e+00,1.314820e+00,1.364431e+00,1.903119e+00,2.079706e+00,1.642293e+00,1.809394e+00,1.659343e+00,1.153529e+00,9.525857e-01,7.886095e-01,5.692641e-01,-5.887854e-02,-6.217373e-01,-1.054795e+00,-1.119472e+00,-8.591517e-01,-6.254813e-01,-8.798082e-01,-1.076070e+00,-1.426498e+00,-2.064170e+00,-2.479720e+00,-2.891042e+00,-2.977903e+00,-2.994053e+00,-2.890193e+00,-2.848628e+00,-3.082119e+00,-3.250747e+00,-3.279015e+00,-2.960797e+00,-2.619712e+00,-2.328589e+00,-2.214350e+00]"	2007	1	4	18
	48	68	48.500000	-21.500000	0.000000e+00	"[0.000000e+00,4.932024e+00,3.451508e+00,2.588043e+00,1.886734e+00,1.674845e+00,1.605322e+00,1.818762e+00,1.900950e+00,1.535531e+00,1.628365e+00,1.347600e+00,8.995769e-01,6.274714e-01,3.538586e-01,-1.946422e-01,-1.039563e+00,-1.474370e+00,-1.516853e+00,-1.301717e+00,-1.116599e+00,-1.222577e+00,-1.618280e+00,-1.905420e+00,-2.333911e+00,-2.752987e+00,-3.155392e+00,-3.510230e+00,-3.647283e+00,-3.804421e+00,-3.689130e+00,-3.561266e+00,-3.216081e+00,-2.890767e+00,-2.711520e+00,-2.204810e+00,-2.057249e+00,-2.054069e+00,-1.980426e+00]"	2007	1	5	0
	48	69	48.500000	-20.500000	0.000000e+00	"[0.000000e+00,5.996583e+00,4.093410e+00,3.242317e+00,2.196040e+00,1.640927e+00,1.463852e+00,1.759317e+00,2.024385e+00,1.751145e+00,1.953377e+00,1.828785e+00,1.159864e+00,8.704739e-01,7.586054e-01,6.356145e-01,9.963037e-02,-5.458142e-01,-1.175006e+00,-1.541972e+00,-1.407681e+00,-1.237959e+00,-1.624569e+00,-1.801778e+00,-2.128745e+00,-2.830583e+00,-3.197292e+00,-3.562411e+00,-3.671044e+00,-3.878638e+00,-3.945766e+00,-3.628682e+00,-3.501557e+00,-3.480971e+00,-3.413765e+00,-3.113319e+00,-2.751517e+00,-2.317667e+00,-1.911976e+00]"	2007	1	5	6
