start	11	2007	1	1	0
	7803	137.246441	-21.127885	9.865978e+04	1.585370e+01	2.658102e+02	2007	1	1	0
	7806	138.746525	-21.585753	9.819315e+04	1.152511e+01	2.485518e+02	2007	1	1	6
	7805	140.246137	-23.298957	9.829560e+04	1.438092e+01	1.601717e+02	2007	1	1	12
	7687	140.245725	-24.583801	9.797172e+04	1.378589e+01	1.142173e+02	2007	1	1	18
	7688	141.745466	-26.361868	9.820420e+04	1.903893e+01	1.111772e+02	2007	1	2	0
	7571	143.245046	-28.167196	9.812720e+04	1.524325e+01	1.216617e+02	2007	1	2	6
	7572	144.744864	-29.994333	9.845623e+04	1.416957e+01	1.516099e+02	2007	1	2	12
	7573	146.244882	-30.442423	9.856630e+04	1.206151e+01	1.815989e+02	2007	1	2	18
	7458	147.744781	-32.276615	9.909007e+04	8.900804e+00	3.101893e+02	2007	1	3	0
	7462	150.745168	-33.087510	9.928230e+04	7.577932e+00	3.242978e+02	2007	1	3	6
	7461	152.244838	-34.904217	9.963991e+04	6.693871e+00	4.112469e+01	2007	1	3	12
start	17	2007	1	1	0
	10752	189.752413	42.334957	9.750091e+04	3.291619e+01	5.472663e-12	2007	1	1	0
	21527	190.005963	45.310554	9.689888e+04	2.077373e+01	6.590166e-05	2007	1	1	6
	21407	191.088283	48.213708	9.646866e+04	2.047791e+01	7.188059e-03	2007	1	1	12
	21409	188.101121	49.967033	9.608406e+04	1.405479e+01	7.448784e-01	2007	1	1	18
	21294	186.649443	51.561711	9.565207e+04	2.617639e+01	4.159564e+00	2007	1	2	0
	21294	186.649443	51.561711	9.589800e+04	2.002267e+01	4.159564e+00	2007	1	2	6
	21412	186.305760	50.078841	9.625021e+04	2.094695e+01	1.184293e+00	2007	1	2	12
	21412	186.305760	50.078841	9.648038e+04	2.110240e+01	1.184293e+00	2007	1	2	18
	21294	186.649443	51.561711	9.670515e+04	1.529447e+01	4.159564e+00	2007	1	3	0
	21294	186.649443	51.561711	9.692784e+04	1.574427e+01	4.159564e+00	2007	1	3	6
	21292	187.016208	53.043191	9.719891e+04	1.466818e+01	3.103369e+00	2007	1	3	12
	21293	185.017216	53.144429	9.750273e+04	1.024587e+01	2.715170e+00	2007	1	3	18
	21175	185.299571	54.634171	9.780547e+04	1.218240e+01	6.983990e-01	2007	1	4	0
	21176	183.365631	56.204269	9.811437e+04	1.245395e+01	8.549014e-02	2007	1	4	6
	21062	178.811135	57.744425	9.827160e+04	1.261477e+01	5.796597e-02	2007	1	4	12
	21061	176.221241	59.195153	9.837748e+04	1.052404e+01	7.536945e+00	2007	1	4	18
	21061	176.221241	59.195153	9.840557e+04	9.915819e+00	7.536945e+00	2007	1	5	0
start	6	2007	1	1	0
	14802	200.813625	-54.440904	9.834318e+04	1.526781e+01	0.000000e+00	2007	1	1	0
	14916	206.205253	-54.882616	9.805559e+04	1.291004e+01	0.000000e+00	2007	1	1	6
	15032	213.376616	-56.151240	9.776488e+04	2.008512e+01	0.000000e+00	2007	1	1	12
	15149	218.974156	-57.610048	9.756871e+04	2.100379e+01	0.000000e+00	2007	1	1	18
	15269	222.880253	-59.614755	9.723721e+04	1.991845e+01	0.000000e+00	2007	1	2	0
	15389	227.240137	-61.479276	9.703625e+04	1.483622e+01	0.000000e+00	2007	1	2	6
start	19	2007	1	1	0
	18960	290.745666	43.828114	9.895577e+04	8.863526e+00	9.083952e+01	2007	1	1	0
	18726	297.733404	45.262089	9.818813e+04	1.641591e+01	3.362092e+01	2007	1	1	12
	18727	299.002831	46.437599	9.801363e+04	1.076964e+01	4.188454e+01	2007	1	1	18
	18725	300.668379	45.960002	9.839039e+04	1.159929e+01	2.901574e+01	2007	1	2	0
	18728	302.030718	47.077133	9.859116e+04	5.954484e+00	6.130310e+01	2007	1	2	6
	18728	302.030718	47.077133	9.883446e+04	5.926953e+00	6.130310e+01	2007	1	2	12
	18851	298.117253	49.744855	9.833963e+04	6.278075e+00	7.297849e+01	2007	1	3	0
	19092	293.721353	52.332367	9.758583e+04	5.017542e+00	5.566679e+02	2007	1	3	12
	19093	294.927129	53.615288	9.751689e+04	7.060977e+00	5.145388e+02	2007	1	4	0
	19093	294.927129	53.615288	9.759180e+04	1.000250e+01	5.145388e+02	2007	1	4	6
	19222	292.003061	58.866481	9.725874e+04	9.189809e+00	1.103941e+02	2007	1	4	18
	19223	293.273548	60.198342	9.786027e+04	9.721128e+00	7.308943e+01	2007	1	5	6
