start	32	2007	1	1	0
	10752	189.752413	42.334957	9.750091e+04	3.291619e+01	5.472663e-12	2007	1	1	0
	21525	190.532746	46.763954	9.700866e+04	1.534887e+01	8.670859e-04	2007	1	1	6
	21406	192.781817	48.035635	9.664489e+04	1.116086e+01	3.298463e-03	2007	1	1	12
	21401	195.222834	49.240071	9.670005e+04	1.243653e+01	1.499458e-02	2007	1	1	18
	21282	197.859397	50.365914	9.685855e+04	8.111539e+00	2.490715e-02	2007	1	2	0
	21159	201.757872	52.729953	9.698727e+04	1.290252e+01	2.154338e-01	2007	1	2	6
	21158	203.721353	52.332367	9.714266e+04	1.406202e+01	4.080779e-02	2007	1	2	12
	21153	206.934504	53.147709	9.721119e+04	1.317993e+01	8.194429e-02	2007	1	2	18
	21032	211.804786	55.004281	9.725800e+04	1.006139e+01	6.716728e-01	2007	1	3	0
	20914	213.376616	56.151240	9.729916e+04	1.562124e+01	1.285642e+00	2007	1	3	6
	20795	214.542775	59.089979	9.719918e+04	1.279958e+01	9.858551e+01	2007	1	3	12
	20796	213.963141	60.932111	9.707437e+04	1.222689e+01	5.508434e+02	2007	1	3	18
	20679	213.283725	62.798733	9.732762e+04	5.587869e+00	9.943991e+02	2007	1	4	0
	20679	213.283725	62.798733	9.763034e+04	6.559017e+00	9.943991e+02	2007	1	4	6
	20558	220.086742	64.255477	9.817610e+04	7.183874e+00	8.951174e+02	2007	1	4	12
	20553	225.000000	64.354931	9.868617e+04	7.901175e+00	1.063016e+03	2007	1	4	18
	20792	218.669204	59.438513	9.738307e+04	1.794310e+01	4.112646e+02	2007	1	5	6
	20792	218.669204	59.438513	9.732508e+04	1.515582e+01	4.112646e+02	2007	1	5	12
	20671	222.880253	59.614755	9.772347e+04	1.420393e+01	9.183520e+02	2007	1	5	18
	20669	225.000000	60.565899	9.810125e+04	7.486924e+00	1.100021e+03	2007	1	6	0
	20545	233.633484	60.207172	9.956212e+04	1.033947e+01	1.010622e+03	2007	1	6	12
	20663	230.764121	55.810775	9.814930e+04	1.008048e+01	8.922595e+02	2007	1	7	12
	20542	236.623384	56.151240	9.881452e+04	1.187714e+01	1.131814e+03	2007	1	7	18
	20777	232.227217	53.030037	1.008015e+05	8.714029e+00	6.885388e+02	2007	1	9	6
	20656	237.692172	53.255810	1.003233e+05	8.545681e+00	1.132879e+03	2007	1	9	12
	20653	239.156812	52.106355	9.980192e+04	1.323818e+01	1.291413e+03	2007	1	9	18
	20535	241.093396	52.644584	9.892000e+04	8.539840e+00	1.538333e+03	2007	1	10	0
	20414	246.278647	52.332367	9.858402e+04	1.164319e+01	9.988703e+02	2007	1	10	6
	20291	251.214024	51.734357	9.890733e+04	1.273398e+01	6.665593e+02	2007	1	10	12
	20288	253.982106	50.641382	9.963400e+04	1.488349e+01	6.456721e+02	2007	1	10	18
	20044	262.311958	48.493181	1.000915e+05	7.070047e+00	3.715458e+02	2007	1	11	0
