2007	1	1	17	0
	995	40	248.750000	80.000000	9.821669e+04	1.036602e+01	-3.848014e-01
	996	40	249.000000	80.000000	9.821669e+04	1.058409e+01	-7.591006e-01
	3	77	0.750000	70.750000	9.590394e+04	1.462343e+01	4.020232e-01
	1088	86	272.000000	68.500000	9.781294e+04	1.157578e+01	4.195560e+01
	1316	117	329.000000	60.750000	9.774494e+04	1.656402e+01	-8.200238e-01
	1317	117	329.250000	60.750000	9.774494e+04	1.635908e+01	-3.939598e-01
	589	125	147.250000	58.750000	1.000664e+05	1.203481e+01	-2.374560e+00
	823	157	205.750000	50.750000	9.573369e+04	2.308733e+01	6.560688e-01
	1242	192	310.500000	42.000000	9.811044e+04	2.708260e+01	1.776926e-02
	968	215	242.000000	36.250000	1.016334e+05	4.749076e+00	1.767986e+03
	468	405	117.000000	-11.250000	1.002622e+05	1.428087e+01	-1.598238e-01
	213	427	53.250000	-16.750000	9.968019e+04	2.215934e+01	-7.899106e-02
	718	535	179.500000	-43.750000	1.008474e+05	1.556969e+01	2.913262e-01
	1355	610	338.750000	-62.500000	9.526194e+04	1.298885e+01	-2.446384e-01
	866	612	216.500000	-63.000000	9.846444e+04	1.504906e+01	-4.156115e-02
	1096	625	274.000000	-66.250000	9.753144e+04	9.109648e+00	-1.833170e-01
	918	653	229.500000	-73.250000	9.669544e+04	2.126465e+01	-1.415423e+01
2007	1	1	12	6
	986	35	246.500000	81.250000	9.825094e+04	1.044972e+01	-6.372543e-01
	0	78	0.000000	70.500000	9.582644e+04	1.485522e+01	-8.009107e-01
	1092	88	273.000000	68.000000	9.806269e+04	1.185559e+01	-6.178077e+00
	1334	116	333.500000	61.000000	9.806794e+04	1.458570e+01	-8.775125e-02
	589	125	147.250000	58.750000	1.001599e+05	9.472614e+00	-2.374560e+00
	841	148	210.250000	53.000000	9.572869e+04	2.135557e+01	-1.164210e-01
	1253	186	313.250000	43.500000	9.690419e+04	2.698808e+01	-9.053859e-02
	211	430	52.750000	-17.500000	9.987044e+04	1.948187e+01	-2.697244e-01
	196	599	49.000000	-59.750000	9.507619e+04	1.604615e+01	-1.347377e-01
	1353	616	338.250000	-64.000000	9.502369e+04	1.217296e+01	2.499144e-01
	1098	628	274.500000	-67.000000	9.757844e+04	7.760027e+00	7.229648e-01
	890	656	222.500000	-74.000000	9.675894e+04	1.907559e+01	6.526195e+00
2007	1	1	13	12
	976	30	244.000000	82.500000	9.839562e+04	1.071556e+01	-5.381048e-01
	297	52	74.250000	77.000000	9.656588e+04	1.100678e+01	-1.415070e-01
	6	80	1.500000	70.000000	9.595188e+04	1.593129e+01	-3.757924e-02
	1109	88	277.250000	68.000000	9.821138e+04	1.196829e+01	2.416267e+02
	1350	115	337.500000	61.250000	9.845838e+04	1.443940e+01	-8.021052e-01
	588	126	147.000000	58.500000	1.002014e+05	9.179254e+00	6.346212e+00
	853	137	213.250000	55.750000	9.577438e+04	1.858313e+01	-4.333807e-01
	1257	180	314.250000	45.000000	9.638812e+04	2.680971e+01	1.017875e-01
	209	434	52.250000	-18.500000	9.959188e+04	2.131170e+01	6.417339e-01
	196	599	49.000000	-59.750000	9.470462e+04	1.928657e+01	-1.347377e-01
	914	611	228.500000	-62.750000	9.859312e+04	1.063249e+01	1.185115e-01
	1352	619	338.000000	-64.750000	9.490438e+04	1.098257e+01	1.977514e-01
